userName;score;label;at;content
Desima Samosir;5;Positif;25/10/2023 01.47;nyaman banget di indrive guys
Candra Adam Lucker Slipknotmaggot;1;Negatif;25/10/2023 01.46;Kenapa aplikasi setelah di update malah sering buffering loading terus ikut lelang orderan gak bisa mau isi saldo juga gak bisa padahal paket data gal ngalamin masalah kalau kayak gini gimana mau bisa narik. TOLONG DI PERBAIKI LAGI APLIKASI NYA 😡😡😡
Rusli Setiawan;1;Negatif;25/10/2023 01.41;hadeuh makin bobrok aja. dari prioritas skg hilang. sekarang dari veteran bisa turun jadi amatir. hadeuh skalian ratakan aja autobid dari pd perbaikan terus gajelas. customer bnyk yg pindah jadinya krn sering eror !!
Sakabatou Kent;1;Negatif;25/10/2023 01.37;Doyan error
Rahmad Kurniawan siregar;1;Negatif;25/10/2023 01.28;Update sekarang semakin rusak sistemnya dan sistem bagi hasilnya juga gk sepadan dengan peraturan pemerintah indriver makin bobrok
Budi;1;Negatif;25/10/2023 01.23;Maps di indrive kacau balau, order dekat( penumpang sdh di depan mata) malah muncul pilihan waktu paling dekat 3 menit. Alhasil sdh diambil driver lain yg malah jauh!!! Update terus tapi malah kacau ni aplikasi. Menyedihkan
Wahyu Cahyo Setiawati;5;Positif;25/10/2023 01.14;Halo inDriver saya mau login ga bisaya totong di bantu
Sandy Nurjaman;5;Positif;25/10/2023 00.47;"Bagus.. Cuman untuk ""BID"" nya suka heran. Saya Coba Buat Tawaran Dan Saya Liat Akun Saya Ada di Peringkat 6 Terus. Padahal Berdekatan... Sedangkan Yang Jaraknya +500M ada di list 1-5. 😂"
c wahyu;5;Positif;25/10/2023 00.28;Apk yang sangat membantu. Keren
Rakiba Tabiar;5;Positif;25/10/2023 00.06;sangat bagus aplikasi ini
Ita Rostita;5;Positif;24/10/2023 23.46;tiba tepat waktu
yufaqueen araceli;2;Negatif;24/10/2023 23.44;Mapnya perlu diperhatikan lagi pengemudinya lama bgt sering nyasar2 GK jelas lokasi Deket tp malah pilih jalan lebih jauh
Dedek Wintoyo;5;Positif;24/10/2023 23.30;Bissmillah aja lah
Lutfi Azahra;5;Positif;24/10/2023 22.55;Sangat bagus skl ,murah
Nelly N;5;Positif;24/10/2023 22.48;Baik
Muhammad Rizkan;1;Negatif;24/10/2023 22.03;Buruk, sistem bobrok
Arief Rachman Sacipta;5;Positif;24/10/2023 21.23;Cepat Tanggap
syafrizon syafrizon;4;Positif;24/10/2023 18.33;standar harga yg di tawarkan terjangkau dan banyak pilihan serta sangat transparan..tks
Yosia Julius W;5;Positif;24/10/2023 17.06;Tarifnya sangat bagus dalam arti menerapkan tarif yang manusiawi.
Maharani Sabikah;1;Negatif;24/10/2023 16.48;Apk kok makin ngelag2 mau nge order setelah update
ade chandra;1;Negatif;24/10/2023 16.21;Makin di update makin lama muncul lagi argo 10 ribu..hadeuhhh dikata beli bensin pake kencing,udah gthu penumpang yg cancel saldo driver yg ditahan...aplikasi malah buat driver kesusahan.
humaira mourizta;5;Positif;24/10/2023 15.38;👍
SUBANDI;1;Negatif;24/10/2023 15.19;Loading Mulu kagak selesai-selesai, menjengkelkan...!!!
Rian mega Putra utama;1;Negatif;24/10/2023 15.14;Leg terus padahal jaringan udah stabil perbaiki lagi dong sistem nya
warung shaquille;1;Negatif;24/10/2023 14.50;Gimana driver mau kebagian order merata,,, penggunaan applikasi ilegal nya kacau parah, order jarak 200m aja cuma numpang lewat, ga sempet masuk lelang udah ilang orderan nya, entah tim IT nya gatau atau pura2 gatau perihal penggunaan MOD (applikasi ilegal), tolong lebih diperhatikan lagi, biar orderan bisa lebih merata untuk driver,,,
Hubertus Sirait;5;Positif;24/10/2023 14.30;2 bulan belakangan aplikasi sudah tambah familiar customer makin bertambah artinya sebagai mitra dari aplikasi indrive tentunya makin puas dan keluarga juga senang karena nilai yg dibawa ke keluarga makin bertambah jumlahnya 👍👍👍
sutriyono tray;5;Positif;24/10/2023 14.09;Ok
Oktavia Nurwahida;5;Positif;24/10/2023 14.07;sangat baik
Rizky Ardyansah;1;Negatif;24/10/2023 14.02;makin kacau indriver. masa jarak 5km di apk nya 2km. trus yg jarak deket banget cuma 10meteran gak bunyi gak ad informasi tiba tiba langsung ilang tuh orderan. riwayat perjalanan juga gk nambah padahal udah 1200 lebih tapi masih tetap 1116.
udaboi caniago;4;Positif;24/10/2023 13.58;Ayo berantas MOD dan BOT
Kang Pariz;1;Negatif;24/10/2023 13.55;Bunyi tapi di buka order gak keliatan
Wawan Muslimin;1;Negatif;24/10/2023 13.54;Saya tunggu aplikasi anda seperti apk grab dan GOJEK ok......biar bisa dapat penumpang....kalau masih tetap aja ya maap saya buat screensaver aja order masuknya....lumayan bagus kok
Johan Rossi;5;Positif;24/10/2023 13.40;Min ko belum diverifikasi ya .akun saya udh lebih dari 4 jam
Oki Sudrajat;1;Negatif;24/10/2023 13.38;System sekarang adalah system paling buruk, akun veteran seperti disamakan seperti akun master, veteran seperti dikambing butakan oleh pihak indrive, veteran sudah tidak dihargai oleh indrive, rating tidak berpengaruh apapun, tolong hapus rating jika alhasil rating tidak berguna sama sekali, sia sia perjuangan kami dari mulai awal ongkos 7000, naik menjadi ke 10000 dan sekarang 9000, sekarang semakin kacau. Semakin tinggi peringkat semakin buruk juga dalam hal mencari orderan berbanding terbalik
Zen Kawol;2;Negatif;24/10/2023 13.28;Susah dapat orderan kakap Selalu didahului yg lain
Bahrudin anwar;5;Positif;24/10/2023 13.25;Setelah update versi terbaru report orderan perjalanan tidak bertambah yang bertambah hanya report comennt cs. Tolong di percepat sistem perbaikan apknya. Banyak sekali buffer yang terjadi pada versi terbaru ini di masing2 area wilayah drivers.
Iniisial M;1;Negatif;24/10/2023 13.09;Jijik Banget pake apk Ini asli...Bikin akun sebagai driver aja ribet ngga harus pake skck...nyari nya driver driver yang udah terkenal doang yang bisa daftar dah...mana bisa w daftar ...pendaftaran kun gojek aja sudah di tutup susah daftarnya grab juga...lah ini apk barunumpang nyari drivernya yang punya akun itu doang ....dah...kalo mau yang lain harus pake SKCK lah Gw yang SKCK nya mati ngga bisa daftar ....dah...hanya buat daftar in driver saja harus perpanjang skck dari ujung ke ujung.Ogah
Pasni 06;1;Negatif;24/10/2023 13.09;Percuma tak pernah ikut lelangan padahal jarak dekat
Lita Pamulyan;5;Positif;24/10/2023 13.08;Saya baru coba indrive. Semoga lancar jaya
Ruslan Hadi;2;Negatif;24/10/2023 13.07;Tolong tindaklanjuti donk yang pake mod
Nur hasanah;1;Negatif;24/10/2023 13.04;Malah ga bisa login .. Gimana si?
Mayulis Tanjung;5;Positif;24/10/2023 13.03;Ok
Djamil Uddin;1;Negatif;24/10/2023 13.01;Persi baru makin gak jelas......! Masa penumpang yang membatalkan oderan saldo kita ikut kepotong,, oderan gk dapat saldo yang ada makin habis.. di perbarui bukannya lebih baik malah makin hancuuuur.....😭😭😭
Noldianto Maabuat;5;Positif;24/10/2023 12.59;Apakah indriver ada masalah
mhmmd wisnu;5;Positif;24/10/2023 12.59;Bagus
Defik;2;Negatif;24/10/2023 12.46;Update udh ke 3 kalinya trip masih blm jalan, pegimane sih katanya memperbaiki bug, bug apaan yg diperbaiki kek sama aja gini gini aja.........
Yulius Talumesang;5;Positif;24/10/2023 12.11;Mohon lebih ditingkatkan keamanan bagi kami sbg indriver Krn saat ini banyak akun penumpang palsu yg order pakai nomor luar negeri sampai akun pengemudi indrever kami terblokir pdhl kami TDK pakai aplikasi tambahan lain 🙏🙏🙏
Herman Raul;5;Positif;24/10/2023 11.49;Mantap
Maria Erna;5;Positif;24/10/2023 11.37;masnya ramah ,ganteng ,wangi
Rahel Juliandi;1;Negatif;24/10/2023 11.27;Makin berantakan ,,,
Eron Riski;5;Positif;24/10/2023 11.06;Banyak pengguna yg memakai mod, aplikasi bawaan jd sering tak mendapat order
Ade Hendri;1;Negatif;24/10/2023 11.03;Tolong di perbaiki jika ada Notifikasi Order, jangan terlalu jauh, Notifikasi Order itu yg jarak terdekat dengan Driver. Setelah saya ikuti petunjuk yg anda perintahkan, masih tidak ada perubahan, masih tetap seperti itu, segera di perbaiki sistem nya
ain rostini;5;Positif;24/10/2023 10.42;Mohon diperbaiki segala jenis teknis, terutama kedisiplinan drivernya. 1. Plat nomor aktual sering kali tidak sesuai dengan aplikasi. 2. Driver tidak provide helm untuk penumpang. 3. Driver yang minta cancel tapi tidak mau cancel di aplikasi, lalu menyelesaikan trip (padahal penumpang tidak diantarkan)
nadhifah cholid;1;Negatif;24/10/2023 10.10;apk sampah
Prayuda Setya;1;Negatif;24/10/2023 09.51;Aplikator aneh , makin di update malah makin parah , bukan nya bagus kualitasnya malah ancur se ancur2nya kualitas aplikator nya ... Loading trs ..
Sanjaya Cakra;1;Negatif;24/10/2023 09.49;Min indrive knapa gabisa mode online. Dan mau top up saldo juga gabisa masuk ke menu tambah saldo. Tolong pencerahanya
Syam Sudinnoor69;5;Positif;24/10/2023 09.48;kenapa saya mau login gak bisa terus kak?
Neneng Dwi Yudhini;5;Positif;24/10/2023 09.30;pengemudi ramah & mengantar tepat waktu...👍🙏
Josua Tumaliang;1;Negatif;24/10/2023 09.01;Pesan di titik lain malah mncl di lokasi sndri mau matiin lokasi gak bisa
muhamad daradjat;5;Positif;24/10/2023 08.59;Kalau ada update dalam 1 bulan cukup 1 kali atau 2 kali, karena update membutuhkan quota. Tawar otomatis kadang-kadang berfungsi dan tidak tidak berfungsi
Syaiful Ali;1;Negatif;24/10/2023 08.40;Aplikasi butut, bubar aja lu
Koreng Digo;1;Negatif;24/10/2023 08.35;APLIKASI GA JELAS!!!! TUKANG MALINGIN SALDO DRIVER!!!!!
Topan Pamungkas;1;Negatif;24/10/2023 07.55;update mulu,bug gapernah dibenerin,bug perjalanan ga nambah udah sebulan lebih,masih banyak bug lainnya yg merugikan driver
27. Raffa Azaki Pratadinata;5;Positif;24/10/2023 07.51;bayar lebih murah, bisa memilih pengemudi dengan bebas
Abidin Salman;1;Negatif;24/10/2023 07.30;Order makin sulit
Hadi Setiawan;2;Negatif;24/10/2023 07.29;Setiap nyocol kalah terus (order tidak aktif lah, order sudah kadaluwarsa lah, order ditolak lah, order sudah ada penerima lah). Jarak 200 meteran mash gk kena juga. Bingung ama ini apk. Dah beberapa hari gk prnh dpt orderan.
Bambang Widy;1;Negatif;24/10/2023 07.27;Aplikasi model baru jelek gak usah so ganti versi baru kalau belum bisa lebih baik dari sebelumnya
APL Official;1;Negatif;24/10/2023 06.32;Sampah 🥱
Surya Ramadhan;1;Negatif;24/10/2023 06.23;inDrive pencuri atau maling dengan cara potong saldo driver nya yang sudah jelas itu Orderan Palsu
Hendri Tampubolon;1;Negatif;24/10/2023 06.12;Perjalanan masih tidak bertambah, sy sudah adukan beberapa hari yang lalu..
Saut Hamonangan;5;Positif;24/10/2023 04.56;Thanks You Tetap Ramah
Theovano Keintjem;5;Positif;24/10/2023 04.52;apk bagus. murah dan cepat
Rahel Juliandi;1;Negatif;24/10/2023 04.47;Mode online nya ga bisa di gunakan ,,selalu kembali ke mode offline
Rohmatulloh Hidayat;1;Negatif;24/10/2023 04.26;Pengemudinya banyak alasan. Lokasi suka tidak sesuai. Membingungkan banyak pelanggan dan driver
Haruka Zenahara;5;Positif;24/10/2023 04.26;Min bolehkah update jumlah pendapatannya,, kok gak nambah ya maksudnya jumlah perjalanannya..
Upu Zen;5;Positif;24/10/2023 04.18;Lokasi bandung kota Saran saya mending jangan ada prio dan jangan autobid soalnya banyak pake mood
Devi Victor;5;Positif;24/10/2023 04.18;Sayangnya motor diganti gambar mobil, yg berpotensi penumpang salah persepsi.
Salamander Frze;1;Negatif;24/10/2023 04.08;abis update makin sepi berat juga aplikasinya,yang biasa nya masih bisa di toleransi inimah gak bisa di toleransi efek nya ke driver dan penumpang
abu sayid;1;Negatif;24/10/2023 03.54;Kasian para driver, orderan tidak otomatis
Shandy Ardes;5;Positif;24/10/2023 03.52;Membantu bnggt
Bung Ajay;4;Positif;24/10/2023 03.32;"Mohon bantuannya untuk area surabaya di kasih fitur autobid dong Biar di jalan saat mengantar tidak klik"" handphone"
Entang Sunarya;5;Positif;24/10/2023 03.32;Sangat bagus
Frickies;5;Positif;24/10/2023 03.28;Ok
Imam Maulana;2;Negatif;24/10/2023 03.21;Saya kurangi bintangnya,, gk pernah dpt orderan, selalu kalah sama yg pke auto clicker.
Syifa Faujiah;5;Positif;24/10/2023 03.16;Alhmdllh c aa nya ramah selamat sampai tujuan
Rifky Ramadhan;1;Negatif;24/10/2023 02.59;Rusak, banyak yang gak bener, histori orderan pun gak naik
Love Defan;5;Positif;24/10/2023 02.59;tetap berikan yg terbaik&klo bisa harga lebih murah
Hani Rasyidah;1;Negatif;24/10/2023 02.46;Di apk, waktu nya cuma 1 menit, ketika dipesan ternyata driver jauh dari titik penjemputan, tolong di perbaiki
Erina Tambunan;5;Positif;24/10/2023 02.39;Mantan
DD offset;5;Positif;24/10/2023 02.26;akan mencoba mengambil bagian dri keberadaannya..
Utomo Damenta Simamora;5;Positif;24/10/2023 02.24;Lebih oke dan lebih murah
Irham Juliansyah;1;Negatif;24/10/2023 02.19;Tanpa sepengetahuan driver enak saja menaikan potongan saldo dri 5% skrg 11%....zolim
sopian pian;1;Negatif;24/10/2023 02.17;Saran sy indrive itu jangan ada autobit..udah aja sistem cocol..kalau autobit k enakan d penumpang..ongkos murah kelakuan penumpang nya banyak gaya
Reza cahya hermawan;2;Negatif;24/10/2023 02.11;Kok motor nya nggak ada...
Rangga Saputra;2;Negatif;24/10/2023 02.08;driver jelek mah susah buat cari penumpang... argo murah aja lagu2an customer yang milih driver... 2 ijo yang ikutin pergub aj ga gitu2 amat
Iwan Geming;5;Positif;24/10/2023 02.05;ramah
ABD yoga;5;Positif;24/10/2023 01.28;Keren
Cahyadi Nugroho;5;Positif;24/10/2023 01.25;Ok lah
Abah Ato;1;Negatif;24/10/2023 01.14;Eror terus mantap
Yuria Citra liem;5;Positif;24/10/2023 01.12;sukses selalu, tetap dengan pelayanany baik
asep saridi;4;Positif;24/10/2023 00.25;Tampilan aplikasi di map, logo ny mobil, saya kan driver motor
hyayan wbw;1;Negatif;24/10/2023 00.24;Parah...
Jesika Putry;5;Positif;24/10/2023 00.19;Lebih dikembangkan lagi tawaran otomasihnya kalau boleh sampai jarang 1.5km - 2km supaya yang masih pakai driver bot & mod beralih ke apk ori.
Salman Faridz;2;Negatif;24/10/2023 00.09;"Msih bnyak yg pke mod,trus dr segi orderan pun terlalu berebutan,harusnya d sesuaikan.jdi dr 1 penumpang driver berebutan.masa saya aktifin dr subuh smpe skrng g dpt""orderan kan aneh.terlalu nge anak emasin yg punya atribut.baru klik ambil penumpang keterangan sudah diambil,pdhl g lama ko makin aneh bgt.systemnya jgn tll banyak di mainin.klo system' nya Kya gni terus bkknya bagus tpi malah jdi bobrok."
mrusdi halim;1;Negatif;24/10/2023 00.03;Aplikasi Kantor Buruk Saldo Tetap Di Potong Saat Orderan Di Cansel Potongan Kagak Sesuai Dengan Tarif Harga Harusnya Buat Kenyamanan Bersama Buat Driver Dan Juga Pihak Kantor Kalau Begini, Namanya Memakan Hak Milik Orang Lain
Jarot Nurhadi;5;Positif;23/10/2023 23.48;Semenjak aku komen sampai sekarang kok tambah gak di kasih orderan ya Min.
Adim Rahman;2;Negatif;23/10/2023 23.44;Saya mau verifikasi profil foto kok malah ngga bisa ,,malah balik lagi biasanya cuman sekali tolong di perbaiki kak
Marcelino;1;Negatif;23/10/2023 23.39;weird. tertampil 3 menit, faktanya nunggu sampai 20 menit, wkwk. aneh.
ambarep mulyadin;1;Negatif;23/10/2023 23.24;Apk udh di update masih bgtuh
Tedi Chemistry;5;Positif;23/10/2023 23.21;mantap dan cepat
Hape Seken;1;Negatif;23/10/2023 23.05;Makin heran aja,konsumen deket juga susah masuk lelang nya,malah yg jarak jauh yg masuk nya,,,makin sini makin mirip maxim ada istilah prio segala,,bukannya konsumen dan pengemudi yg menentukan,,buka apk yg ngasih orderan ke sebagian pengemudi,,buat apa ada pengemudi veteran dng rating 5 perjalanan di atas 5000 ,,kalau orderan di kasih sama pemula yg perjalanan di bawah 50,,,harus adil lelang nya jangan pilih kasih,,,moto nya SEMUA DRIVER MEMPUNYAI KESEMPATAN YG SAMA,,,,sekarang cuma selogan saj
Hery Lombok Trip;5;Positif;23/10/2023 22.43;It's fair transportation. Sangat menyenangkan bisa bergabung dengan inDrive. Aman, nyaman selama perjalanan.
RESULT PUBG GUSTI 2;1;Negatif;23/10/2023 22.18;bakal ancur karna sistem critical gini , sistem it gajelas gabisa kerja
Muhamad Yadi;5;Positif;23/10/2023 22.17;Gacor mantap
DIMAS SUSYONO;5;Positif;23/10/2023 22.13;Sangat membantu untuk mencari nafkah
Fentje Mopeng;5;Positif;23/10/2023 21.45;baik, ramah
Dewi Sitikhoeriyah;1;Negatif;23/10/2023 19.14;Sudah narik beberapa kali tapi setatus perjalanan masih nol...bagaimana ini
Asep R;1;Negatif;23/10/2023 18.06;daftar pake screenshoot aplikasi lain, dibilang hasil editan.. bangke emang... yg kami kirim adalah akun asli. bukan hasil editan..
Vhy Raf10;1;Negatif;23/10/2023 18.05;Pelayanan tidak baik
Thomas Feith Hulu;5;Positif;23/10/2023 16.41;membantu masyarakat jalan cepat
Jery Gobel;5;Positif;23/10/2023 16.10;baik
forum betawi rempug;2;Negatif;23/10/2023 15.51;Sya punya akun indriver TPI tidak bisa di klik untuk online pasti selalu offline ini kenapa akun nya Bru mau narik ga bisa di klik online selalu offline....
Restu Maulana;5;Positif;23/10/2023 15.34;Sae psan
Kardi;1;Negatif;23/10/2023 15.07;jadi driver Indri serasa gembel, satu penumpang di rebutin 10 sampe 20 driver.harusnya order langsung masuk ke driver trdekat
Toto Sugiarto;4;Positif;23/10/2023 14.28;Kacau sekarang indriver cs order jarak 300 meter aja dri driver malah kental sudah gitu apl versi skrng loadingnya lama banget...trus herannya cs belum naik cs cancel malah bisa kasih komen yg tidak baik jadi dari mananya cs tau drivernya tentang mengendari mobilnya membahayakan suka aneh aja sekarang sudah di tengah perjalanan di cancel malah kasih koment kurang baik tolong aplikasi indriver ini di perbaharui kalau belum siap jangan naik versinya, ini sih bukannya lebih baik malah tambah kacau.
Heri Yanto;1;Negatif;23/10/2023 14.11;Aplikasi tidak meyakinkan online dr pagi sampai malam ga ada yg masuk sama sekali parah banget ruginya bensin buang waktu dalam berkerja keras untuk sehari tidak seperti gojek grab maxsim order otomatis hati hati untuk yg berminat di sini berpikir dulu jgn sampai di rmh kelaparan sia sia untuk mendapatkan orderan ga jelas terimakasih
frans gunawan;1;Negatif;23/10/2023 14.09;critical zona apa sih ?
ρ є α η υ τ ѕ;1;Negatif;23/10/2023 13.40;buang buang paketan orang mesir nelpon kacau lu sir
Haris Abdu Sahid;5;Positif;23/10/2023 13.18;Belum nerima orderan, pemula.
Riendu RR;2;Negatif;23/10/2023 13.06;"Baru pertama mau join apk ini.ehh loading trus kaya kipas angin muter"" .bikin gedek.pdahal pgen nyobain gitu.apalah daya.menjengkelkan"
Bro Smith;1;Negatif;23/10/2023 13.06;Ini kenapa setelah update riwayat perjalanan kita GK nambah nambah tolong di perbaiki Masih kyk versi lama riwayat perjalanan gak nambah
Konan Revan;1;Negatif;23/10/2023 12.59;Makin kesini makin menyengsarakan driver....
Mohamad Tohirin;5;Positif;23/10/2023 12.51;Membantu
Rian Hidayat;1;Negatif;23/10/2023 12.47;Makin kesini kok indriver makin kacau ya ,,, kirain udah prioritas ada kelebihan dibandingkan yg non prioritas,,, ternyata sama jja,, udah kaga beres
Rudy Setiawan;5;Positif;23/10/2023 12.35;Setelah di update lagi lebih Bagus lagi... saya jadi banyak orderan. Thanks.
ikhsan Romadhona;1;Negatif;23/10/2023 12.33;Keenapa makin besar potongan nya, dan tidak ada pemberitahuan lagi... Maksud nya apa ini
fikri ramadhan;1;Negatif;23/10/2023 12.10;Gaenak make nya jemput penumpang jauh , itu pun rebutan ma driver lain belum lagi driver lain pake mod , kalau bisa yang pake mod di block
Abdul Halim;1;Negatif;23/10/2023 11.50;"Bubar aja udah ngapain masih bertahan aplikasi tidak bisa bersaing mau sok""an buat aplikasi transportasi. Keluhan mitra aja tidak di tanggapi. Gimana mau bersaing ingat aplikasi bisa berjalan karna ada nya mitra dan penumpang terutama mitra, kalau memang tidak sanggup bersaing dan hanya memakan potongan setiap orderan lebih baik bubar aja min. Note: TIM IT NYA KURANG BAGUS MAKAN GAJI BUTA PERCUMA MASIH BISA DI RUSAK APLIKASI NYA, DAN BUAT FITUR AUTOBID AJA KAGAK BISA ALESAN PENGEMBANGAN LAH!!!!!"
IRLANDA Paputungan;5;Positif;23/10/2023 11.48;Aplikasi sangat membantu
Toni Hamdani;5;Positif;23/10/2023 11.45;Tolong min untuk harga s tandar yg tertera jangan smpe bisa di edit lg oleh cs,,,ini hrga Sdh pling rendah di edit lg
HP SPN;5;Positif;23/10/2023 11.36;Jempol untuk indriver tingkatkan kekurangannya.
Ricardo Siaga;5;Positif;23/10/2023 11.30;Mohon lebih baik di vitur aoutobibnya, knp mau isi saldo cast jadi ngak bisa di gerai alfa jadi susah pas habis saldonya mau ngoder lagi
Hasanudin Sas;1;Negatif;23/10/2023 11.16;ngabisin baterai doang
Sri Amin;5;Positif;23/10/2023 11.12;memuaskan
Albert Raal;1;Negatif;23/10/2023 11.03;Parah keseluruhan mekanisme sistem baik jarak GPS. isi saldo atau beroprasi nya. seperti di tangani anak 12 tahun
Ihsan Maulana (MihMau);5;Positif;23/10/2023 10.55;Ingin jadi prioritas
Yusuf Bahtiar;2;Negatif;23/10/2023 10.54;Upgrade terus....trs mod makin banyak
Alex Teguh arifianto;2;Negatif;23/10/2023 10.52;Aplikasinya suka eror kalo ada orderan. Tolong lah di bikin langsung dapet ke driver yg terdekat aja. Kalo sistemnya lelang banyak yg pada pake mod, kasian driver yg lain
Aliv Badar;5;Positif;23/10/2023 10.42;PATENNNNNNN👍👍👍👍👍👍👍👍👍👍
Arie Gandhi Yahya Rante Tandung;5;Positif;23/10/2023 10.34;Bagus
suherman koto;2;Negatif;23/10/2023 10.33;Semakin banyak order fiktif, sudah di laporkan masih ada terus.
Albert haikal;5;Positif;23/10/2023 10.00;sangat ramah ,
Andre Kriwil;4;Positif;23/10/2023 09.56;ok
Sani Azka;5;Positif;23/10/2023 09.56;Ok
Reza Ardian Surahman wahid;1;Negatif;23/10/2023 09.56;Aplikasi ngerusak argo jemput jauh gk karuan argo nya cetek gk jelas
Sinta Sinta;5;Positif;23/10/2023 09.54;Aplikasi trasportasi yang cukup baik, semoga bisa di andal kan
Nyalindung Baru;5;Positif;23/10/2023 09.36;bagus cepat dan murah
achmad alviansyah;1;Negatif;23/10/2023 09.25;Tolonglah list urutan driver yang masuk lelang dari atas ke bawah lagi, yang sekarang dari bawah ke atas driver driver prioritas pada tenggelam di bawah
Mariana 123;5;Positif;23/10/2023 08.14;ok
Suwardi Wardi;1;Negatif;23/10/2023 07.46;Ribet bener.. cuma mau jadi tukang ojek aja pake segala skck harus idup juga... Lo oikir gue ngelamar kerja kantoran.. aplikasi gak guna.
dicky zildjian;2;Negatif;23/10/2023 07.31;bagusi aplikasih waktu estimasi ya... pengemudi blom. jalan estimasi waktu sudah berjalan.....
Arif Cuplus;1;Negatif;23/10/2023 07.22;Setelah di update dengan tampilan baru tambah lemottttt sekali apk nyaaaa ,,,, PARAHH LEMOT NYA !!!
Moniquezeell;5;Positif;23/10/2023 07.22;bagus dn murah
Gloria Rambing;5;Positif;23/10/2023 06.22;Mantap punya
Steve Tan;5;Positif;23/10/2023 05.59;mantap !
rosdiani rosdiani;1;Negatif;23/10/2023 05.49;Pelayanan bagi driver yang kurang diperhatikan
Iskandar 03;5;Positif;23/10/2023 05.26;sopan dan sangat ber hati² terima kasih daud semoga lancar rizkinya
ROBBY DIFA TRIGANTARA;4;Positif;23/10/2023 05.22;Rada erro knpa
Muhammad YKS;1;Negatif;23/10/2023 05.14;Kelewatan kalau emang ga mau terima driver jgn bikin alasan yg jelas, bukan bolak balik suruh upload , data udah semua bener masih aja suruh upload ulang, data dah masuk jangan dipakai buat pinjol ya🚧 bikin alasan aja macam macam ga jelas bikin ribet.
Muhammad Eko Saputra;1;Negatif;23/10/2023 04.59;Prioritas saya kenapa hilang?
Suparmin Suparmin;5;Positif;23/10/2023 04.58;Armada good
Rida Farida;5;Positif;23/10/2023 04.46;oke
Dempak 666;5;Positif;23/10/2023 04.42;maju terus indrive, terus berkembang
Deby Marta Saia;1;Negatif;23/10/2023 04.29;setelah update apk kok loading nya lalod sx tambah dana akun ngk bisa...🙄apk di update bukannya tambah bagus malahan lambat. hade😏
Ferry Fadly;1;Negatif;23/10/2023 04.27;Apa ngak ada yg bisa membasmi aplikasi tambahan, sdh bertahun2 tetap aja keamanannya jebol, makanya bklokir permanen biar ada efek jera, dilakukan trus menerus,
Sofyan Hermawan;5;Positif;23/10/2023 04.18;Aplikasinya sangat bagus persahabatan buat kita para tunanetra karena saya seorang tunanetra, namun sekarang-sekarang ini ada sedikit kekurangan buat kita tunanetra karena kalau untuk ngecat drivernya susah nyarinya nggak seperti dulu, mudah-mudahan kalau ada update-an bisa seperti dulu lagi bersahabat buat kita para tunanetra karena para tunanetra banyak juga yang menggunakan aplikasi ini.
RGB Gaming;1;Negatif;23/10/2023 04.09;critical update bukan makin bener makin susah n gk jelas, gk teratur sistem pengorderanny, riwayat perjalanan gk nambah, yg peringkatny very high jd turun, gk ad bunyi notif jg order baru, order gk aktif n kadarluarsa masih aja muncul, klw gk aktif ngpain dimunculin lg, gmn ini sistem ny jg gk karuan. that so bad
hamdani nasution;1;Negatif;23/10/2023 03.39;Tarifnya murah banget boskuuu, mending cs serasa bayar angkot, mostly indriver harus nya ikutin regulasi pemerintah..bukan supply and demand, dasar kapitalis
Frids dikson Siki;2;Negatif;23/10/2023 03.35;Update terus tpi kargo di kota kupang blm ada jga nj
abah anom;2;Negatif;23/10/2023 02.56;waktu jemput harus otomatis, atau gak usah ada tampilan waktu jemput, bikin telat saja
Rocky Yuwa;4;Positif;23/10/2023 02.30;bintang 4 dulu karena masih baru
hermansyah chaniago;1;Negatif;23/10/2023 02.26;Aplikasi ini tidak memberikan solusi pada drivernya pengembalian dana yang sangat lama
Di art;5;Positif;23/10/2023 02.08;Makin sulit dapat order
Fariz Anantasya Putra;1;Negatif;23/10/2023 01.58;Aplikasinya makin gajelas, awalnya status akun saya terpercaya tapi tiba tiba ketika saya ingin mengambil orderan timbul notifikasi bahwa plat BK saya beda dengan STNK, pdhl dah jelas di STNK tertera kalau saya pindah alamat makanya plat BK saya berubah, dan untk plat BK nya yg trbaru blum bsa diambil, karna wktu pengambilannya bsa dilakukan pd bln Januari nnt.
Ahmad Fahmi;5;Positif;23/10/2023 01.56;Jelek
Agus Lita;1;Negatif;23/10/2023 01.51;Maaf sebelumnya,, dari tanggal 14 sampe sekarang, Dana pemasangan sticker blom ada yg masuk. Profesional lah klo ingin menjadi besar. Masalah uang sebesar 400 ribu aja gak mau bayar sesuai dengan perjanjian pemasangan sticker mobil.ayo bayar uang pemasangan sticker. Belum besar aja sdh buat kecewa Mitra, wajar klo aplikasi ini gak akan maju
Joanna Michelle;1;Negatif;23/10/2023 01.50;Ahli IT nya pecat aja semua, ngak guna. Masa kalah sama IT kampung pembuat mod
Kiki Yuni;5;Positif;23/10/2023 01.48;ok the best
Fiyalpptngn Iyal.;5;Positif;23/10/2023 01.38;mantap
Alrasyid Rashesa;5;Positif;23/10/2023 01.29;sangat membantu saya ketika membutuhkan transportasi
Yayan Taryanto;5;Positif;23/10/2023 01.25;Bisa memberikan peluang usaha dan tambahan untuk biaya sehari hari cuman sayang masih banyak kebocoran di aplikasi nya
