"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-","label"
"Kesulitan untuk pembayaran via QRIS. Padahal aplikasi sebelum di-update aman tanpa kendala. Error.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Wahh tampilan nya sekarang ok banget. Cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama OVO. Mohon tambahin dong ewallet Gopay dan DANA. Terus debit BRI, Mandiri, sama BCA.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Updateny bagus,tpi susah skrng dftr kaipayny, udah gitu byar pake kai juga susah","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"metode pembayaran sangat terbatas, tidak ada fitur ganti nomor padahal nomor sudah tidak aktif, tidak ada tombol pembayaran jika tidak sengaja keluar dr aplikasi","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Kesulitan untuk pembayaran via QRIS. Padahal aplikasi sebelum di-update aman tanpa kendala. Error.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Wahh tampilan nya sekarang ok banget. Cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama OVO. Mohon tambahin dong ewallet Gopay dan DANA. Terus debit BRI, Mandiri, sama BCA.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Updateny bagus,tpi susah skrng dftr kaipayny, udah gitu byar pake kai juga susah","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"metode pembayaran sangat terbatas, tidak ada fitur ganti nomor padahal nomor sudah tidak aktif, tidak ada tombol pembayaran jika tidak sengaja keluar dr aplikasi","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Kesulitan untuk pembayaran via QRIS. Padahal aplikasi sebelum di-update aman tanpa kendala. Error.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Wahh tampilan nya sekarang ok banget. Cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama OVO. Mohon tambahin dong ewallet Gopay dan DANA. Terus debit BRI, Mandiri, sama BCA.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Updateny bagus,tpi susah skrng dftr kaipayny, udah gitu byar pake kai juga susah","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"metode pembayaran sangat terbatas, tidak ada fitur ganti nomor padahal nomor sudah tidak aktif, tidak ada tombol pembayaran jika tidak sengaja keluar dr aplikasi","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Solusi pembelian tiket kereta api yang mudah","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Solusi pembelian tiket kereta api yang mudah","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Solusi pembelian tiket kereta api yang mudah","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Solusi pembelian tiket kereta api yang mudah","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Setelah di update malah makin mudah Untuk metode pembayaran dpt lewat ovo, link aja, dana","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","0","0","0","0","1","0","0","0","0","0","0","0","000010000000"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Upgrade Yang baru bagus dan lancar di pembayaran pake qris nya juga lancar","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Setelah update jadi user friendly dan ga ribet. Qris juga udah ke detect waktu bayar, ga perlua waktu laama buat bayarnya cpeet langsugn bisa sleesai","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket k.a jadi sangat mudah bgt lacar jg","0","0","0","0","1","0","0","0","0","0","1","0","000010000010"
"Saat pesan loading nya lama banget, pas dibatalkan dan pesan lagi malah kursi tidak tersedia","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Tolong dong jangan di ganti susah dan bingung jadi nya mau pesen","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses loading lama","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Semakin susah gak bs di pesan gak bisa di klik.. masih bagus yg versi lamaðŸ˜­","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Kalau tiket abis ga usah di tampilin lagi listnya, jadi bingung nge tap satu persatu karena yang habis tetap ada di list","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dulu","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"tampilan baru kirain aplikasi tambah bagus eh ternyata makin jelek, ga bisa login lagi katanya idnum already exist, kalo kayak gini gimana mau pesan tiketnya lagi?jadi ga guna aplikasinya","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dulu","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"tampilan baru kirain aplikasi tambah bagus eh ternyata makin jelek, ga bisa login lagi katanya idnum already exist, kalo kayak gini gimana mau pesan tiketnya lagi?jadi ga guna aplikasinya","0","0","0","1","0","0","0","0","0","0","0","0","000100000000"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","0","0","0","1","0","0","0","0","0","0","0","1","000100000001"
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"POIN PENTING REVIEW KAI ACCESS > ACCESS BY KAI 1. Dari semua yg paling mencolok adalah fitur pemesanan opsi RAILFOOD dan LAYANAN LAINNYA seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada dibawah seperti itu.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"POIN PENTING REVIEW KAI ACCESS > ACCESS BY KAI 1. Dari semua yg paling mencolok adalah fitur pemesanan opsi RAILFOOD dan LAYANAN LAINNYA seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada dibawah seperti itu.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"udah update, ui yang baru tapi kualitas makin buruk. mau lihat jadwal krl dari jalur rangkas - tanah abang aja gak bisa","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"POIN PENTING REVIEW KAI ACCESS > ACCESS BY KAI 1. Dari semua yg paling mencolok adalah fitur pemesanan opsi RAILFOOD dan LAYANAN LAINNYA seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada dibawah seperti itu.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"POIN PENTING REVIEW KAI ACCESS > ACCESS BY KAI 1. Dari semua yg paling mencolok adalah fitur pemesanan opsi RAILFOOD dan LAYANAN LAINNYA seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada dibawah seperti itu.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Tampilan baru. Bukan lebih mempermudah tapi lebih mempersulit. Kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access.","0","0","0","1","0","0","0","0","0","1","0","0","000100000100"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","0","0","0","1","0","0","0","1","0","0","0","0","000100010000"
"Lemot bgtttt si abis upgrade tp kualitas malah downgrade, bolak balik pemesanan tinggal bayar aja lemotnya MaasyaaAllah. Mau apasi","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Fitur reduksi harga dihilangkan, aplikasi juga sangat lemot! Ciri khas bumn bgt!","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Saya beli tiket 1 tapi koo bayarnya dobel ?????, Saya isi saldo Kai pay 30 rb, harga tiket kereta api lokal 12.000 , saya beli tiket untuk 1 orng saja.. kok tiba"" saldo saya tinggal 6.000 ???? Kok pembayaran bisa dobel begituu, tolonggg pihak KAI kejelasaannya","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Lemot bgtttt si abis upgrade tp kualitas malah downgrade, bolak balik pemesanan tinggal bayar aja lemotnya MaasyaaAllah. Mau apasi","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Fitur reduksi harga dihilangkan, aplikasi juga sangat lemot! Ciri khas bumn bgt!","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Saya beli tiket 1 tapi koo bayarnya dobel ?????, Saya isi saldo Kai pay 30 rb, harga tiket kereta api lokal 12.000 , saya beli tiket untuk 1 orng saja.. kok tiba"" saldo saya tinggal 6.000 ???? Kok pembayaran bisa dobel begituu, tolonggg pihak KAI kejelasaannya","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Saya beli tiket 1 tapi koo bayarnya dobel ?????, Saya isi saldo Kai pay 30 rb, harga tiket kereta api lokal 12.000 , saya beli tiket untuk 1 orng saja.. kok tiba"" saldo saya tinggal 6.000 ???? Kok pembayaran bisa dobel begituu, tolonggg pihak KAI kejelasaannya","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Saya beli tiket 1 tapi koo bayarnya dobel ?????, Saya isi saldo Kai pay 30 rb, harga tiket kereta api lokal 12.000 , saya beli tiket untuk 1 orng saja.. kok tiba"" saldo saya tinggal 6.000 ???? Kok pembayaran bisa dobel begituu, tolonggg pihak KAI kejelasaannya","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"Saya beli tiket 1 tapi koo bayarnya dobel ?????, Saya isi saldo Kai pay 30 rb, harga tiket kereta api lokal 12.000 , saya beli tiket untuk 1 orng saja.. kok tiba"" saldo saya tinggal 6.000 ???? Kok pembayaran bisa dobel begituu, tolonggg pihak KAI kejelasaannya","0","0","0","1","0","1","0","0","0","0","0","0","000101000000"
"tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit, tapi menarik,,, untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo, soalnya saya user ovo bangwt","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Setelag update aplikasi menjadi sangat lemot di semua fiturnya, terutama di fitur Tiket Saya! Tiket yang sudah dibeli lama sekali bufferingnya menyebabkan kelamaan menunggu dipenukaran tiket/cetak boarding. Dan fitur Kereta untuk membeli tiker antar kotapun demikian begitu lemot bufferingnya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main update tetapi aplikasi belum bisa maksimal.","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Lebih mudah untuk pemesanan tiket","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Lumayan membantu membeli tiket kereta api tanpa admin huhuðŸ”¥ðŸ”¥ lancar jg tdk ada kendala saat melakukan pemesanan, update membernya kok susah min oadahal datanya sudah sesuai bagus yg sebelumnya, padahaka sblmnya udah banyak banget pesen tiketnya","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit, tapi menarik,,, untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo, soalnya saya user ovo bangwt","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Setelag update aplikasi menjadi sangat lemot di semua fiturnya, terutama di fitur Tiket Saya! Tiket yang sudah dibeli lama sekali bufferingnya menyebabkan kelamaan menunggu dipenukaran tiket/cetak boarding. Dan fitur Kereta untuk membeli tiker antar kotapun demikian begitu lemot bufferingnya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main update tetapi aplikasi belum bisa maksimal.","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Lebih mudah untuk pemesanan tiket","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Lumayan membantu membeli tiket kereta api tanpa admin huhuðŸ”¥ðŸ”¥ lancar jg tdk ada kendala saat melakukan pemesanan, update membernya kok susah min oadahal datanya sudah sesuai bagus yg sebelumnya, padahaka sblmnya udah banyak banget pesen tiketnya","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Setelag update aplikasi menjadi sangat lemot di semua fiturnya, terutama di fitur Tiket Saya! Tiket yang sudah dibeli lama sekali bufferingnya menyebabkan kelamaan menunggu dipenukaran tiket/cetak boarding. Dan fitur Kereta untuk membeli tiker antar kotapun demikian begitu lemot bufferingnya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main update tetapi aplikasi belum bisa maksimal.","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Lebih mudah untuk pemesanan tiket","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Lumayan membantu membeli tiket kereta api tanpa admin huhuðŸ”¥ðŸ”¥ lancar jg tdk ada kendala saat melakukan pemesanan, update membernya kok susah min oadahal datanya sudah sesuai bagus yg sebelumnya, padahaka sblmnya udah banyak banget pesen tiketnya","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot","0","0","1","0","0","0","0","0","0","0","0","0","001000000000"
"Good job KAI aplikasinya jadi lancar banget, pemesanan cepat bgt, di upgrade jd lebih baik dan lebih mudah diakses","0","0","1","0","0","0","0","0","0","0","1","0","001000000010"
"Keren si ini, nyaman aplikasinya. Serig pesen tiket lewat pake aplikasi KAI acces","0","0","1","0","0","0","0","0","0","0","1","0","001000000010"
"Mantap min, sudah bisa beli tiket commuter lewat kai acces makin mempermudah pengguna yeay, terimakasih ðŸ™ðŸ‘","0","0","1","0","0","0","0","0","0","0","1","0","001000000010"
