"Ulasan","Performa","Pemesanan","Pembayaran","Fitur","Tampilan","Umum"
"Aplikasi diperbarui kok malah makin susah buat masuk. Tiap masuk selalu bendal atau kalau bisa masuk, mutarnya lama. Tulung diperbaiki servernya juga.","Negatif","","","","",""
"Aplikasi lambat banyak BUG","Negatif","","","","",""
"Di update bukan nya makin bagus.. ini malah makin buruk,makin bapuk,makin down..","Negatif","","","","",""
"Luar biasa","Positif","","","","",""
"Lemot, udah bayar tiket, tapi ga muncul","Negatif","","Negatif","","",""
"Sy baru sadar kalau apk nya di upgrade, tampilannya bagus, tapi kok ini malah lemot skli, dan ngebug terus. Setiap mau pesen tiket antar kota selalu tidak tersedia? ini gmna si min, bagusan yg lama. Sy juga lihat balasan adminnya disini malah suruh update atau log ini lagi, udah sy coba segala cara sama ajaaaaaa, padahal ini apk sdh versi pling terbaru","Konflik","","","","Konflik",""
"Kenapa KAI access diperbaharui otomatis? Dan malah jadi tidak bisa dibuka sama sekali","Negatif","","","","",""
"lama yaa","Negatif","","","","",""
"Versi terbaru super lelet, big noooo","Negatif","","","","",""
"Diupdate bukannya makin baik malah makin lemottt, udah gitu tiap buka disuruh login terus tuh konsepnya gimana sii?? Mana loginnya ga jelas LEMOTT PARAHHH HUU PERBAIKI DONG TOLONG","Negatif","","","","",""
"bagus dan keren, catatan untuk pengguna jika hanya untuk lihat jadwal atau lainnya sebaiknya akses lokasinya di non aktifkan dulu","Positif","Positif","","","",""
"BURUK!!!!!! BUKANNYA MEMPERMUDAH,MALAH MEMPERSULIT!!!!","Negatif","","","","",""
"Kecewa banget dengan kereta suka macet jadi menghambat perjalanan","","","","","","Negatif"
"nih servernya gmana ya? lemot bener","Negatif","","","","",""
"Lemooot,padahal yg lama cepet bgt begitu update lemoooot,ud dicoba berkali2 tetep aja, tolong segera perbaiki dong pt kai","Negatif","","","","",""
"Tampilan baru mengecewakan l..Mau bayar knp kadaluarsa terus sih..","Negatif","","Negatif","","Negatif",""
"makin upgrade malah makin lemotttttttttt!!!!","Negatif","","","","",""
"Bagusan desain sebelumnya, lebih elegan,simple,gak seperti di prank. Sekarang lambat, bikin bingung. Harusnya diperbaiki kualitasnya pembayaran ewallet ditambah opsinya, dll","","","Konflik","","Konflik",""
"Sebelumnya saya sudah beli tiket pake aplikasi lama, trus saya cek.. di aplikasi tiket saya ilang tuh.. pertanggungjawabannya gimana?","","Negatif","","","","Negatif"
"Saya kira hanya terjadi di saya, namun banyak juga yang mengeluhkan kalau kai access yg sekarang agak lebih ribet dari versi sebelumnya. Mohon maaf admin, jujur saya merasa kai access yg sekarang terlalu mirip dengan aplikasi travelling yg lain. Saya apresiasi penambahan fitur seperti ka lokal, krl, dan kcic. Namun penambahan fitur lain seperti hotel dan bus, menurut saya membuat kai access kehilangan identitasnya sebagai kai access","Negatif","","","","","Negatif"
"Pembatalan tiket kereta melalui KAI access dipotong 25% sudah itu proses refund 45 hari baru akan ditransfer balik dan giliran pembatalan reservasi hotel melalui KAI access diarahkan untukmenghubungi traveloka, pihak traveloka sudah dihubungi dan setuju serta mengkonfirmasi reservasi dibatalkan tanpa pinalti namun untuk pengembalian dana nya diarahkan menghubungi tempat awal melakukan pemesanan yaitu KAI access, di aplikasi KAI access tidak ada sama sekali opsi chat minta bantuan.","Negatif","Negatif","","","",""
"Dulu sebelum di update jaringannya lancar sekarang Setelah update kok lebit lemot ya. Kemarin saya mau pesan tiket sampai memakan waktu 20 menit di ind***** buat menunggu kode keluar. Sampai saya 4 kali percobaan baru bisa. Mohon kepada Developer KAI untuk memperbaiki jaringannya. Terimakasih","Negatif","Negatif","","","",""
"Dimana cara pesan reduksi lewat update yg baru ini","Netral","Netral","","","",""
"Wkwkwkwk afaan sekelas perusahaan bumn ga mamfu bikin aplikasi bener bukannya mempermudah tapi malah mempersulit. Cuihhhhh","Negatif","","","","",""
"Woi admin balikin ke aplikasi lama lah.. lemot banget aplikasi update baru.. Setelah update malah makin tdk user friendly, filter hanya ada 1 pilihan (dulu bisa by waktu, harga, dan kelas), pilih kursi juga hrs scroll atas bawah (dulu 1 layar tampak semua), hadeuh bukannya makin maju","Negatif","","","","Negatif",""
"Nyesel upgrade ke versi baru,berkali2 coba masuk tetep aja g bisa login","Negatif","","","","",""
"Setiap ada update bukannya lebih baik malah banyak masalah, padahal yang kemarin sudah bagus dan friendly user.. Dan yang ini lebih parah.. mau bayar ga bisa bisa.. ""waktu anda telah habis...""..padahal baru mencet metode pembayaran.. Tolong menu RESCHEDULE dan REFUND agar DIMUNCULKAN KEMBALI krn buat yg sering berubah keberangkatan sangat2 membantu.. sudah banyak ulasan dan kasih bintang 1, smg tim KAI bisa segera memperbaiki..","Konflik","","Konflik","","Konflik",""
"Kenapa ya aplikasi nya lemot bangt loading nya lama pula gak kaya aplikasi yang sebelum nya di rubah ketambah suka tiba2 keluar sendiri dan harus login bekali kali","Negatif","","","","",""
"Diperbarui bukanya malah lebih baik malah menyusahkan. Mau upgrade ke basic pake akun yang lama muncul tulisan email dan no hp sudah out. Bintang 1","Negatif","","","","",""
"Update terburuk buat apk...","Negatif","","","","",""
"Maaf ini aplikasi Sekarang tidak bisa pakai fitur connecting train dari Banyuwangi ke Cikarang, padahal sebelumnya bisa.. kenapa malah down grade ya?","Konflik","","","Konflik","",""
"setiap ngecek tiket selalu tidak ada jadwal.","","Konflik","","","",""
"Tampilan bagus, tp makin lama loadingnya. Mending versi yang lama. Simpel tp cepet","","","","","Konflik",""
"Promonya aja rame gililran aplikasi di buka ngeleggg, naruh uang di saldo KAI juga gak berguna. Mending go show di loket.","Negatif","Negatif","","","",""
"Versi baru lebih lemot ... loadingnya lama akses masuk aplikasinya, bgt jg berpindah menu dll ... mohon segera diupgrade","Negatif","","","","",""
"Saat verifikasi kaipay loh kenapa tibaÂ² kode otp nya muncul dari kaspro.id. apa kerja sama ? Lebih suka aplikasi yang lama. Yang baru ini lemot","Konflik","","","","","Konflik"
"Loading lamaaaaa...banget. pas pencarian kursi. Pas udah masuk,, udah dipilih sendiri dari apk nya, kn saya blm milih kursi padahal. Kadang lancar. Kadang ya gitu.. Yg versi lama lancar padahal.","Konflik","Konflik","","","",""
"ini ga di testing dulu apa gimana sih pas mau deploy ke prod, masa setelah di update ke UI baru aplikasi malah ngelag gak bisa digunakan sama sekali, lemot parah","Negatif","","","","",""
"Aplikasi jadi semakin susah dimengerti... Untuk cek jadwal krl aja ga detail seperti sebelumnya...lemot...malah jadi jelek","Negatif","","Negatif","","",""
"Loadingnya lama. Tiba-tiba keluar sendiri dari aplikasi. Lebih enak versi lama.","Negatif","","","","",""
"saran untuk para pengurus di KAI ..ini zaman sudah modern segala hal digital sudah serba cepat . ini masa saya batal kan tiket, pengembalian dana nya nunggu 30-45 hari.???? sekalian aja setahun baru tf dana nya .","Negatif","Negatif","Negatif","","",""
"Abis di update malah makin lemot banget","Negatif","","","","",""
"Setelah update semakin lemot ya, ada solusi kah?","Negatif","","","","",""
"Ini setelah di upgrate mlh gak bisa login mulu.,masih sma sudah dicoba beberpa kali login,,kai acces tidak menanggapi","Negatif","","","","",""
"Upate baru ...sudah masuk sesi pembayaran atau bru msuk di sesi pilihan kursi...halaman sudah kadaluarsa","","Konflik","Konflik","","",""
"Updetan versi terbaru bukanya makin bagus malah jadi buruk! Lemot banget, bukan mempermudah malah mempersulit! Serasa downgrade ke versi lama","Negatif","","","","",""
"Idready, trs waktu dftar akun basic, ruwet, dr kmrn ga bisa2 sampek ganti nmr tetep g bisa, jadi g bsa pesen tiket deh","Negatif","Negatif","","","",""
"Daftar tiket saya tidak bisa diakses","Netral","Netral","","","",""
"Setelah update malah lemot, susah melakukan pemesanan, tolong diperbaiki","Negatif","Negatif","","","",""
"Setelah di update malah makin susah Untuk metode pembayaran hanya ovo, pembayaran lewat link aja, dana malah di hilangkan","Negatif","","Negatif","","",""
"Aplikasi Di update malah step by step lemooottttt bangetttttttt yaAllah gimana kalau yg buruÂ²ðŸ¥º waktu pembayaran juga abis sama lemotnyaaaaaaaaa!!!!","Negatif","","Negatif","","",""
"Setelah upgrade terbaru, sangat disayangkan program ny berubah dan menjadi kurang memuaskan. Mohon kpd pihak pemilik kayak ny lebih mudah aplikasi yg sblum nya.","Negatif","","","","",""
"Lebih mudah untuk pemesanan tiket","","Positif","","","",""
"Ada update aplikasi otomatis malah nggak bisa di buka, bukannya tambah bagus malah tambah buruk","Konflik","","","","",""
"Promo elit server sulit, dari dulu kok tetep aja. Diketawain sama ojol noh server anda.","Negatif","","","","",""
"Mantp","Positif","","","","",""
"Baru sadar ada pembaruan dari KAI Access ke Access by KAI. Kirain ngga sengaja uninstall taunya ganti nama. Fiturnya makin banyak, iconnya makin banyak. Udah enak tampilan sebelumnya sih. Udah bener buat layanan pesen tiket doang sih, sekarang jual pulsa, data, bayar listrik. App nya makin berat, buat pesen tiket makin susah, daftar stasiunnya nggak muncul.","","Konflik","","","Konflik",""
"Pas mau buka susah masuknya. Loding lama banget Masih relatif efisien yg lama.","Negatif","","","","",""
"Kenapa di upgrade malahbikin lama bukanyav","Negatif","","","","",""
"Menjadi Tidak Simple .","Negatif","","","","Negatif",""
"Aplikasinya membingungkan setelah di upgrade,mau cari kereta aja ga bisa n aplikasinya lemottttttâ˜¹ï¸","Negatif","Negatif","","","",""
"Setelah di update malah makin buruk, mau log in buffering terus sampe berapa puluh menit padahal kondisi jaringan bagusðŸ‘Ž sumpah aplikasi nya enakan yg dulu sebelum update","Negatif","","","","",""
"APK BERAT BANGET. BENERIN LAH MAU PERGI PERGI NAIK KERETA JADI SUSAH. UPDATE MALAH BIKIN APK RUSAK","Negatif","","","","","Negatif"
"Aplikasi nya kok jadi jelek banget sihh","Negatif","","","","",""
"Bagus versi baru.... jadi lebih mudah dan lengkap... Terus tingkatkan efisiensi dan kurang bug...","Konflik","","","","Konflik",""
"Update aplikasi baru jadi kacau balau sumpah najis dah","Negatif","","","","",""
"perbaikin apknya buruk sekali masa mau pesan ka lokal tidak bisa terus","Negatif","","","","",""
"lama2 makin lemot, tiba2 time out padahal tinggal bayar doang!!!!","Negatif","","","","",""
"Aplikasi kalo belum matang mending jangan di publis dulu","Negatif","","","","",""
"inii gimana yaa, disuruh daftar member basic tp malah gabisa katanya email dan nomor sudah terdaftar, padahal sebelumnya belum pernah daftar member basic","Negatif","","","","",""
"0 nambah parah aplikasinya ðŸ¥²","Negatif","","","","",""
"Semakin lemot. Sampah","Negatif","","","","",""
"Aplikasi di update tapi malah bikin masalah dak bisa login 'sign failed'. Coba lupa password masih tetap. Sudah telpon kai 121 dikasih password standar tetap saja. Benar2 menghambat, bukan malah perbaikan. Sebelum diganti harusnya uji coba dulu. Padahal harus segera booking tiket. Dan sudah banyak penilaian 1 bintang tetap saja aplikasi belum diperbaharui sampai sekarang.","Negatif","Negatif","","","",""
"Setelah di update menjadi down","Negatif","","","","",""
"Bagus","Positif","","","","",""
"Gak tau apa yang melatarbelakangi pergantian dari KAI access ke access by KAI. Tapi sumpah kecewa banget. kualitas nya bukannya upgrade, ini malah downgrade. Pesen tiket jadi lebih lelet dari sebelumnya, bahkan untuk menambah kan daftar penumpang juga loading banget. Jadi tolong bukan tampilannya aja yang di ubah, tapi access kemudahannya harus terus ditingkatkan. Ini sih harus secepatnya diperbaiki, kata maaf aja gak akan pernah cukup","Konflik","Konflik","","","",""
"Mentenaince kah? Semenjak update jadi gabisa masuk apk lemottt ngebug , udh tau urgent mau cepet"" pesen tiket, lain kali bagusin dulu apk nyaaa baru suruh penumpang beuli online babi","Negatif","Negatif","","","",""
"Jujur lebih baik versi sebelumnya, lebih simpel dan mempermudah, tinggal pilih tanggal langsung bisa lihat ketersediaan tiket. Versi terbaru malah jadi ribet, harus klik satu per satu keretanya baru bisa lihat ketersediaan tiket.","Konflik","Konflik","","","",""
"Semenjak update terbaru malah makin parah dan lemot, update bukannya makin bagus malah makin buruk. Tolong dong diperbaiki masa saya mau pesen Tiket 3 jam ngk kelar kelar failed terus, masih bagusan KAI acces daripada ini. Mohon agar segera diperbaiki, jadinya menghambat orang untuk bepergian dengan kereta kalau seperti ini","Negatif","Negatif","","","",""
"Aneh d update bukanya tambah cepet tp tambah lemot, sy kira jaringan ternyata mmg lemot aplikasinya....ni gr2 d korup sm org bumn, cari proyek buat komisaris","Negatif","","","","",""
"Di update, bukannya semakin bagus, semakin lemmot... ðŸ˜©ðŸ˜©ðŸ˜©","Negatif","","","","",""
"Terlalu diulang ulang","Negatif","","","","",""
"Mudah dan gag ribet gag perlu antri dan nunggu loket bukak, cuma sayang H-7 sudah gag dapat kursi.","Konflik","Konflik","","","",""
"Aplikasi terupdate otomatis.. Tampilannya skrg tambah ribet dan bikin bingung.. Lebih simpel tampilan yg lama.. Seharusnya klo memang ada update lebih mempermudah..ini malah sebaliknya..","Negatif","","","","Negatif",""
"Tidak jadwal waktu sholat seperti versi terdahulu","Netral","","","","Netral",""
"Top markotop","Positif","","","","",""
"Versi terbaru, tapi makin buruk. Login via email dan no hp tetap aja muter sampe berkecambah","Negatif","","","","Negatif",""
"Harga tiket yang habis masih ditampilkan, koneksi lancar namun gagal terus","","","","","",""
"Ribet bagus aplikasi yang dulu","Konflik","","","","",""
"Lemottttt,freeze, udah di update koq malah parahhh","Negatif","","","","",""
"Semakin lama buka aplikasinya dan setiap langkah itu prosesnya lama banget, berbeda dengan yg sebelumnya lebih cepat. Malah sering kembali lagi kehalaman utama, semoga segera diperbaiki.terimakasih","Konflik","","","","Konflik",""
"Biasanya update itu untuk mempermudah,ini malah kebalikan nya,mempersulit,lemot ga ktulungan,harus log in dri awal,data smua hilang","Negatif","","","","",""
"Saya suka kereta","Positif","","","","","Positif"
"Dah update ga bisa di buka,, nge leg","Negatif","","","","",""
"Parah nih layanan aplikasi ini. Lama banget loading buat dapet kode otp, apalagi saat login masuk. Masa aplikasi setingkat pelayanan masyarakat gini amat. Kaga profesional operator nih aplikasi. Pake di blokir segala lagi buat dapetin otp karna muncul2.... ðŸ‘ŽðŸ‘Ž","Negatif","Negatif","","","",""
"Upgrade malah lemot, interface enak yg lama. Mo beli tiket malah jadi susah, mohon di perbaiki. Pengguna setia KAI tiap weekend","Negatif","","","","",""
"Dah lah bikin pusing, udah bener2 apk lama ngapain jadi update kek t*i","Negatif","","","","",""
"Jadi sulit dalam login dan ga prnah muncul tampilan pemesanan tiket","Negatif","Negatif","","","",""
"Lemott ga bisa masuk udah masuk malaj ke luar harus login tapi pas login lemot parah ga bisa masuk susah","Negatif","","","","",""
"Lemot sekali kapan normal lagi","Negatif","","","","",""
"Ini kenapa sih aplikasi BUMN sering gangguan terus!!,masa disuruh log in lagi padahal sudah punya akun. Aneh kalah sama aplikasi swasta yang lebih bagus dan jarang gangguan....ðŸ‘ŽðŸ‘ŽðŸ‘Ž","Negatif","","","","",""
"diupgrade malah sering blank hitam.","Negatif","","","","",""
"Diupgrade malah aneh, di cek masih sisa kursi tersedia 3 di beli ga bisa","Konflik","Konflik","","","",""
"Kenapa sekarang ada menit nya sih mau pesen tiket jadi gak tenang","Konflik","Konflik","","","",""
"Ko malah lemot versi baru,parah ah","Negatif","","","","",""
"Tampilan yg semakin memudahkan","","","","","Positif",""
"Lemot banget bikin emosi","Negatif","","","","",""
"MASALAH MULU","Negatif","","","","",""
"Aplikasi yg semakin mempersulit penggunanya,mana lemot bgt","Negatif","","","","",""
"Lemot banget tiap mau pesan tiket per step nya lama. Padahal jaringan sama handphone OK","Negatif","Negatif","","","",""
"Ga jelas Anjir. Log in gagal terus.. di update malah makin ribet","Negatif","","","","",""
"Banyak fitur dan pilihannya tapi gabusa sama saja kalo tidak bisa terakses, lebih running sama versi yang lama nya, Merugikan konsumen apabila ada sesuatu mendesak dan butuh reshcedulle tiket tetapi gabisa, sudah coba telpon dan tanya ke 021121 service center juga ga ada solusi, sudah saya coba manual unistall kemudian download install lagi.. sama saja gabisa.. harus jadi perhatian dong ini","Negatif","Negatif","","","","Negatif"
"Apa gunanya update jadi tambah susah mengacess mau liat jadwal harus login ulang very badðŸ‘Ž","Negatif","","","","",""
"Sudah bisa dipakai lagi...","Netral","","","","",""
"Tampilan UI jelek, padahal lebih simpel dan elegan yg dulu ðŸ˜ŒðŸ˜Œ","Konflik","","","","Konflik",""
"enakan aplikasi yg lama","Konflik","","","","",""
"Gabisa dibuka inii yg update","Negatif","","","","",""
"lag banget, padahal internet bagus, tapi apk susah masuk, apalagi semenjak update","Konflik","","","","","Konflik"
"Secara UI sudah oke namun secara ux yang kurang, terutama saat mencari danmembeli tiket, harusnya tiket yang sudah sebagian sold rangenya di tulis mulai dari yang available bukan dari range harga awal. Trus ditawarkan memilih makanan saat memesan tiket adalah hal yang konyol, pilihan membeli tiket dari h-45 hari namun sudah di tanyain ingin membeli makanan apa itu hal aneh. Kecewa sih sama ux yang sekarang, better yg kemarin","Konflik","Konflik","","","",""
"Ada bangku tapi pas dipilih seat no available.... payah.....makin diupdate makin payah. Tampilan gak user friendly, makin berat, dan problem lama belum solve juga","Konflik","Konflik","","","",""
"Bagaimana caranya agar bisa kembali ke yang lama ya? Saya upgrade kok reduksi saya malah tidak bisa.","Konflik","","","","",""
"Kembalikan KAI access yg dulu. Yg ini jelek banget. Liat tiket kek misteri. Harga gk langsung muncul harus klik lagi. Gk user friendly ini. Update tu makin baik ini kemunduran.","Negatif","","","","",""
"Ini aplikasi nya banyak pengguna jadi suka lemot, dan tapi KAI belum mengatasi masalah itu","Negatif","","","","",""
"Selaraskan antara kebijakan dan keandalan aplikasinya. Jangan buat peraturan untuk calon penumpang kereta lokal harus pesan tiket lewat aplikasi tapi aplikasinya tak bisa di andalkan. Kecepatan pelayanan melalui aplikasi juga menjadi daya tarik calon penumpang. Jangan sampai membuat penumpang menjadi kurang nyaman dengan performa aplikasi yang buruk.","Negatif","","","","","Negatif"
"Setelah di-update jadi lemot buka aplikasinya. Payah, buka app loadingnya lama. ðŸ‘‡ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž","Negatif","","","","",""
"Diperbarui mala jadi lemot banget,tiap mbuka apk harus login lagi login lagi,mohon ditingkatkan lagi pelayananya","Negatif","","","","",""
"Aneh banget ini aplikasi, di update malah makin buruk. Gabisa dipake sama sekali. Gabisa masuk sama sekali terus aja muter. Bukannya makin bagus! Lemoooott! Tiap masuk langsung nge logout. Minta verifikasi trs. Udah masukin nomor verifikasi tetep aja muter malah minta verifikasi lagi. Terus aja gitu. Bukannya mempermudah malah bikin emosi.","Negatif","","","","",""
"Setelah diperbaharui semakin lemot..susah buat buka apkny padahal sinyal bagus..mau ngecek tiket jadi susah..semoga bisa diperbaiki lagi sehingga dpt memudahkan penumpang dalam menggunakan apk kai","Konflik","Konflik","","","",""
"Makin ga jelas aplikasinya, bikin promo ga jelas juga gan","Negatif","","","","",""
"Setelah diupdate jd ngebug. Lama","Negatif","","","","",""
"Aplikasi terbaru bukanya malah memudahkan,malah menyusahkan... Lebih bagus sebelum diupdate mudah dimengerti.","Konflik","","","","",""
"TAMBAH LEMOT","Negatif","","","","",""
"Udah minta update, Malah lemot sama login susah","Negatif","","","","",""
"Parah setelah di update malah tidak bisa di buka aplikasinya, bukannya mempermudah malah jadi mempersulit","Negatif","","","","",""
"Tiba tiba aupdate terus login kembali ke email yang dulu gak bisa masuk lagi apa gak bisa daftar lagi pakek email baru","Negatif","","","","","Negatif"
"lemot paraaaaaaah aplikasinya!","Negatif","","","","",""
"Makin ribet, malah downgrade.. mau cari kereta harus klik dulu keretanya untuk tau ketersediaan kursi. Msh enak aplikasi yg dulu. Lgsg terlihat ketersediaan kursinya","Negatif","Negatif","","","",""
"Lemoottt banget stuck gk bisa ngapa2in padahal jaringan full. Setiap ada flash sale selalu eror :(","Negatif","","","","",""
"Kenapa si ini setelah Update kok malah makin lemot, saat masuk ke apk nya jga lemot, yg mau bli tiket atau mau bepergian naik Kereta jdi terhambat apalagi yg mau pergi kerja. Tolong di perbaiki lgi ðŸ™","Negatif","Negatif","","","",""
"payah mau pesen tiket aja lama bgt, eror mulu","Negatif","Negatif","","","",""
"Saat ini apk nya malah jadi kurang membantu Detail kendala. Loadingnya lama sekali, saat mau cek jadwal commuter line susah sekali mencari nama stasiun . Memakan banyak waktu loading namun hasil pencarian malah tidak keluar.","Negatif","Negatif","","","","Negatif"
"LEMOTT GAMASUK MASUK SAAT LAGI BUTUH BUTUHNYA","Negatif","","","","",""
"Penggunaan jadi lebih mudah dan ringan","Positif","","","","",""
"Setelah di update, mau buka apk nya jadi lama bgt","Negatif","","","","",""
"Bagaimana mau pesen tiket, aplikasinya sangat lelet ðŸ¤¦","Negatif","","","","",""
"Tidak memberikan kemudahan customer update an yg baru ini. Maaf bintang 1. Lebih suka aplikasi sebelumnya karena lbh banyak dan mudah dimengerti oleh customer/pengguna","Negatif","","","","",""
"Hampir telat kereta karena otomatis update, update terakhir justru makin buruk, sangat lemot","Negatif","","","","",""
"Abis di update lemoooottttttttt","Negatif","","","","",""
"masih lemot padahal jaringan/wifi bagus","Negatif","","","","",""
"Aplikasi nya Lemot banget , malah makin lama","Negatif","","","","",""
"Kakak ini gimana ko update otomatisðŸ˜­, pas masuk lagi tiket saya hilanggg mana perjalanan buat hari sabtu kakkðŸ˜­ rugi uang dongg saya masih mahasiswa belom punya uang kakkkðŸ˜­","Negatif","","","","",""
"Tidak sesuai yang di harapkan. Aplikasi tambah lemot","Negatif","","","","",""
"ini kai acces yg baru lemot bgt ke logout teruss pas mau masuk lagi malah gagal pdahal sinyal lancar","Negatif","","","","",""
"Aplikasi gak jelas","Negatif","","","","",""
"Gimana temenÂ², sudah bisa gnti jadwal kereta tnpa harus ke stasiun belum?? Apa gnti tampilan aja","Konflik","","","","Konflik",""
"Gimna sihhh iniðŸ˜­ makin susah masuk aj, harus log in teruss mana setiap hari pulang pergi kerja harus naek keretaðŸ˜ŒðŸ˜Œ tolong di benahi dong katanya lebih mudah, tapi nyatanyaðŸ¤","Negatif","","","","",""
"Setelah update jadi susah login, butuh waktu yang amat sangat lama itupun gak berhasil juga untuk login. Udh terlanjur kesel saya uninstall lagi aja","Negatif","","","","",""
"Setelah update jadi kacau ini aplikasi, susah akses, not responding, slow banget buat buka apk.. Mohon perbaikannyaðŸ™ kalau bisa mending pake versi lama lebih enak","Negatif","","","","",""
"Aplikasi lemot, bukannya mempermudah malah mempersulit, bapak saya sampe debat sama security stasiun gara2 gabisa pesen tiket, tolong di perbaiki lagi, kalo bisa evaluasi besar2an biar penumpang ga banyak yg di rugikan","Negatif","Negatif","","","",""
"Hallo min, kenapa ya pas udah di update, si aplikasinya jadi susah dibuka dan sering mentok logo kai nya terus. Tolong cepet diperbaiki dong aplikasinya.","Negatif","","","","",""
"Kenapa aplikasinya jadi ribet begini ,,,,,susah masuknya lagi tolong diperbaiki lagi","Negatif","","","","",""
"Kalo w ga butuh ma akses kereta ini males bgt dah make app ini, minggu2 ini loading trs, eror trs mana org tuh buru2, ini bner2 bkin emosi, pas nyampe stasiun disuruh ke loket, dari loket disuruh ke petugas dpn bner nyebelin bgt sampe ketinggalan jadwal kereta dong mana lg buru2, kalo org gbs beli diloket ya benerin dong tu app, jgn ngerugiin waktu orang.","Negatif","Negatif","","","","Negatif"
"Kepada admin mohon bantuannya, saya terkendala tidak dapat login bila menggunakan provider jaringan tri","Negatif","","","","",""
"Login aja susah bgt apalagi mau beli tiket ðŸ˜­ðŸ˜­ ko apk nya stlah d update ga berjalan dgn baik","Negatif","Negatif","","","",""
"Maaf sebelumnya saya mau komplain kepada programmer yang mendesain tampilan UI serta UX pada aplikasi access ini, saya lebih suka tampilan yang sebelumnya dikarenakan tampilan yang sekarang terlalu banyak data yang di stored sehingga aplikasi ini tidak responsif seperti versi yang sebelumnya","Konflik","","","","Konflik",""
"Setelah update malah makin gak praktis, Kalo sudah habis ya jangan di display di atas lah,","Negatif","","","","",""
"Mudah, lancar pembayarannya....yg tdk punya atm ,bisa melalui indomart,alfamart.....mantap","Negatif","","Negatif","","",""
"Abis di update bukannya makin bagus malah makin aneh bobrok banget ditambah ada event promo agustusan akun ke log out sendiri gabisa di akses. dimana2 update aplikasi makin bagus kok malah makin makin bobrok","Negatif","","","","",""
"Pas habis update malah makin susah buat masuk ngga ada otak klo sebelum update masih gampang ini beda nihðŸ—¿","Negatif","","","","",""
"Saat dibutuhkan, malah Error. Jadinya ketinggalan kereta. Harusnya Aplikasi Transportasi Umum lebih canggih dan cepat, karena terpaut waktu","Negatif","","","","",""
"Sesudah d update malah sering ngblank + sering logout sendiri","Negatif","","","","",""
"Yang baru semakin lemot dan eror, mohon diperbaiki","Negatif","","","","",""
"Lemot","Negatif","","","","",""
"Ini gimana , tiket udah d psen,tiba2 minta upgrade apk nya,stelah d install malah ngga bisa masuk,udah berkali-kali masuk tetep ngga bisa juga ...pak terbaru nya kagak jelas, tlong bantu nya supaya bisa masuk login...","Negatif","Negatif","","","",""
"Kenapa semakin di upgrade semakin lemot kai ini mana apk makin susah","Negatif","","","","",""
"Sejak diupdate malah makin susah Aplikasinya. Lemot sekali ketika cek tiket dan ketika menyelesaikan step by step setelah isi data penumpang. Malahan gk bisa menyelesaikan sampai step terakhir. Semoga ada update berikutnya dan bikin gk merepotkan. Ini update merepotkan sekali. Mohon dikondisikan min.","Negatif","","","","",""
"App nya lemmot bgt emang ya? Mau bikin sandi juga susah bgt, rempong, sebel aku, setiap ganti sandi selalu tdk disetujui, knp si app iniðŸ˜­","Negatif","","","","",""
"Kayaknya sudah normal. Sukses Access by KAI","Positif","","","","",""
"Habis di update malah makin lemoooottttttt mau mesen tiket kereta jadi susahh ini tolong perbaiki dong!!!","Negatif","","","","",""
"Lemotnya minta ampun.. Bagaimana mau melayani publik kalo gini....tolong diperbaikilah segalanya... Mkasih.","Negatif","","","","",""
"tampilan ok pemesanan cepat lgsung dapat","Positif","","","","Positif",""
"Susah banget dibuka, ujung2nya dateng ke loket menyebalkan apalagi kalau waktu mepet","Negatif","","","","",""
"Sekarang Jadi Lemooottt","Negatif","","","","",""
"Aplikasi lemot","Negatif","","","","",""
"Saran aja mending gausah pake Aplikasi buat pesen tiket! Skrg apk nya malah makin ribet! Lemot juga udh d update makin gajelas masukin nmr hp aja loading trs muter sampe sejam Klo dibilang transportasi nyaman&murah dan ga bikin macet emg iya ,tpi liat skrg bnyak kendala klo lg urgent apa"" susah malah diribetin.","Negatif","Negatif","","","",""
"Tidak bersahabat dengan pemburu goshow, terlalu lemot. Keburu habis tiketnya","Negatif","Negatif","","","",""
"Apk nya cacad aku jadi ga bisa pulang","Negatif","","","","",""
"Saya beli tiket 1 tapi koo bayarnya dobel ?????, Saya isi saldo Kai pay 30 rb, harga tiket kereta api lokal 12.000 , saya beli tiket untuk 1 orng saja.. kok tiba"" saldo saya tinggal 6.000 ???? Kok pembayaran bisa dobel begituu, tolonggg pihak KAI kejelasaannya","","Negatif","Negatif","","",""
"Lemooooooooooooottttttt bangettttttttt,,setiap mau buka loadingnya lama padahal jaringan sudah bangus terus aplikasinya harus upgrade. Setiap mau buka harus masukin otp nya entah lewat email/sms,,padahal sebelum nya pernah kasih otp,,","","Negatif","","","","Negatif"
"Setelah Saya update, nggak bisa buka sama sekali hanya warna sampul saja","Negatif","","","","",""
"Super lelet asli lelet sedunia","Negatif","","","","",""
"Setiap mau mengubah no tlpon selalu gagal, dan akan upgrade ke member clasic slalu tidak bisaa....malah anaeh aplikasi baru jdi menyulitkan jatuhnya.","Negatif","","","","",""
"Mantappppppp","Positif","","","","",""
"Apk load.","Negatif","","","","",""
"Aplikasinya makin ribet,lebih simple versi lama.Aplikasinya tambah lambat.","Negatif","","","","",""
"Lebih suka apk nya sebelum diperbarui","Konflik","","","","",""
"lemot..","Konflik","","","","",""
